FIPS,value,,,
17113,47308,,,
17115,37808,,,
17117,37360,,,
17119,43031,,,
17121,37413,,,
17123,40507,,,
17125,32558,,,
17127,37173,,,
17129,48704,,,
17131,36818,,,
17133,47485,,,
17135,37696,,,
17137,41018,,,
17139,33458,,,
17141,39247,,,
17143,39877,,,
17145,44052,,,
17147,43533,,,
17149,37692,,,
17151,54583,,,
17153,34643,,,
17155,40074,,,
17157,38256,,,
17159,32500,,,
17161,41414,,,
17163,49723,,,
17165,33816,,,
17167,46944,,,
17169,41738,,,
17171,40000,,,
17173,31234,,,
17175,30368,,,
17177,37685,,,
17179,43657,,,
17181,34830,,,
17183,34399,,,
17185,32931,,,
17187,36917,,,
17189,42383,,,
17191,33587,,,
17193,32898,,,
17195,35145,,,
17197,48716,,,
17199,35815,,,
17201,38483,,,
17203,45361,,,

18001,41979,,,
18003,38796,,,
18005,38079,,,
18007,31591,,,
18009,33006,,,
18011,52390,,,
18013,37500,,,
18015,36770,,,
18017,35988,,,
18019,38204,,,
18021,38500,,,
18023,38519,,,
18025,31227,,,
18027,35366,,,
18029,44486,,,
18031,38516,,,
18033,36225,,,
18035,34651,,,
18037,41636,,,
18039,35459,,,
18041,34531,,,
18043,42019,,,
18045,33274,,,
18047,45777,,,
18049,31203,,,
18051,30267,,,
18053,35970,,,
18055,37002,,,
18057,54178,,,
18059,48717,,,
18061,38724,,,
18063,45907,,,
18065,34574,,,
18067,38671,,,
18069,34516,,,
18071,35557,,,
18073,49432,,,
18075,29191,,,
18077,33543,,,
18079,36109,,,
18081,46753,,,
18083,35460,,,
18085,36416,,,
18087,31580,,,
18089,39770,,,
18091,37589,,,
18093,36693,,,
18095,38137,,,
18097,38368,,,
18099,36017,,,
18101,38621,,,
18103,38283,,,
18105,46198,,,
18107,36410,,,
18109,41986,,,
18111,33050,,,
18113,33870,,,
18115,38125,,,
18117,29741,,,
18119,32365,,,
18121,29688,,,
18123,36548,,,
18125,31045,,,
18127,46992,,,
18129,40568,,,
18131,28156,,,
18133,39899,,,
18135,32925,,,
18137,35138,,,
18139,33140,,,
18141,35472,,,
18143,34977,,,
18145,41789,,,
18147,39341,,,
18149,34526,,,
18151,38613,,,
18153,38387,,,
18155,29283,,,
18157,39273,,,
18159,46855,,,
18161,26211,,,
18163,33655,,,
18165,35372,,,
18167,36740,,,
18169,39038,,,
18171,40583,,,
18173,42840,,,
18175,36098,,,
18177,31864,,,
18179,39144,,,
18181,39599,,,
18183,40021,,,

19001,37308,,,
19003,31613,,,
19005,36250,,,
19007,25609,,,
19009,32500,,,
19011,40594,,,
19013,38261,,,
19015,42659,,,
19017,47539,,,
19019,38281,,,
19021,34194,,,
19023,32552,,,
19025,31477,,,
19027,38065,,,
19029,35650,,,
19031,36765,,,
19033,36500,,,
19035,33707,,,
19037,42250,,,
19039,44063,,,
19041,35411,,,
19043,35417,,,
19045,33633,,,
19047,31164,,,
19049,51813,,,
19051,43466,,,
19053,34453,,,
19055,36825,,,
19057,37400,,,
19059,45404,,,
19061,39533,,,
19063,35486,,,
19065,27447,,,
19067,36250,,,
19069,35128,,,
19071,39063,,,
19073,30433,,,
19075,41838,,,
19077,36615,,,
19079,34815,,,
19081,38906,,,
19083,31715,,,
19085,38375,,,
19087,36083,,,
19089,38808,,,
19091,36375,,,
19093,36042,,,
19095,33636,,,
19097,40727,,,
19099,40386,,,
19101,40097,,,
19103,45104,,,
19105,31958,,,
19107,34667,,,
19109,40304,,,
19111,33234,,,
19113,41602,,,
19115,37188,,,
19117,45099,,,
19119,36429,,,
19121,39583,,,
19123,36027,,,
19125,40064,,,
19127,31563,,,
19129,44427,,,
19131,32350,,,
19133,37300,,,
19135,33417,,,
19137,34138,,,
19139,45597,,,
19141,35863,,,
19143,38507,,,
19145,37625,,,
19147,30214,,,
19149,41629,,,
19151,37143,,,
19153,41760,,,
19155,43166,,,
19157,37191,,,
19159,37768,,,
19161,31250,,,
19163,46013,,,
19165,44111,,,
19167,42256,,,
19169,41392,,,
19171,38101,,,
19173,32171,,,
19175,38988,,,
19177,29398,,,
19179,32404,,,
19181,44395,,,
19183,39244,,,
19185,28750,,,
19187,37808,,,
19189,32458,,,
19191,39276,,,
19193,38616,,,
19195,33182,,,
19197,31417,,,

20001,30306,,,
20003,27071,,,
20005,36139,,,
20007,29811,,,
20009,32468,,,
20011,34292,,,
20013,34141,,,
20015,42169,,,
20017,24141,,,
20019,26250,,,
20021,24747,,,
20023,23125,,,
20025,26458,,,
20027,44308,,,
20029,34844,,,
20031,48698,,,
20033,26397,,,
20035,35765,,,
20037,30512,,,
20039,34259,,,
20041,34543,,,
20043,39600,,,
20045,43165,,,
20047,29643,,,
20049,27917,,,
20051,37400,,,
20053,34214,,,
20055,45086,,,
20057,30901,,,
20059,34683,,,
20061,40654,,,
20063,29375,,,
20065,36765,,,
20067,40724,,,
20069,34205,,,
20071,33750,,,
20073,34803,,,
20075,50578,,,
20077,35500,,,
20079,35753,,,
20081,32500,,,
20083,42250,,,
20085,36881,,,
20087,35485,,,
20089,21932,,,
20091,52231,,,
20093,,,,
20095,51500,,,
20097,34643,,,
20099,32205,,,
20101,46250,,,
20103,54157,,,
20105,29135,,,
20107,32415,,,
20109,33173,,,
20111,35882,,,
20113,35240,,,
20115,28672,,,
20117,31373,,,
20119,40000,,,
20121,39856,,,
20123,34722,,,
20125,35131,,,
20127,37832,,,
20129,18393,,,
20131,40871,,,
20133,24438,,,
20135,32019,,,
20137,50139,,,
20139,37594,,,
20141,32266,,,
20143,34567,,,
20145,29359,,,
20147,33021,,,
20149,44799,,,
20151,32132,,,
20153,40667,,,
20155,38037,,,
20157,32460,,,
20159,38155,,,
20161,39041,,,
20163,28750,,,
20165,25577,,,
20167,34116,,,
20169,34455,,,
20171,,,,
20173,41776,,,
20175,41750,,,
20177,40333,,,
20179,34674,,,
20181,21719,,,
20183,36607,,,
20185,26786,,,
20187,42857,,,
20189,43600,,,
20191,39966,,,
20193,29457,,,
20195,37639,,,
20197,41050,,,
20199,46250,,,
20201,30469,,,
20203,21354,,,
20205,32500,,,
20207,26250,,,
20209,36708,,,

21001,27995,,,
21003,35676,,,
21005,41250,,,
21007,29100,,,
21009,32205,,,
21011,37244,,,
21013,21158,,,
21015,47090,,,
21017,32261,,,
21019,36344,,,
21021,36750,,,
21023,28235,,,
21025,24054,,,
21027,33135,,,
21029,40026,,,
21031,36250,,,
21033,36266,,,
21035,31766,,,
21037,39251,,,
21039,37697,,,
21041,26130,,,
21043,27656,,,
21045,29539,,,
21047,37668,,,
21049,40588,,,
21051,24339,,,
21053,24097,,,
21055,26639,,,
21057,31957,,,
21059,34471,,,
21061,26815,,,
21063,24537,,,
21065,29811,,,
21067,43599,,,
21069,38185,,,
21071,30132,,,
21073,39635,,,
21075,31429,,,
21077,43523,,,
21079,37283,,,
21081,32609,,,
21083,36795,,,
21085,30250,,,
21087,28070,,,
21089,37346,,,
21091,40556,,,
21093,50718,,,
21095,22346,,,
21097,36607,,,
21099,26509,,,
21101,35922,,,
21103,33608,,,
21105,40708,,,
21107,38365,,,
21109,40755,,,
21111,39181,,,
21113,39127,,,
21115,28630,,,
21117,39721,,,
21119,44398,,,
21121,24962,,,
21123,27354,,,
21125,34036,,,
21127,33083,,,
21129,29516,,,
21131,29804,,,
21133,27898,,,
21135,30429,,,
21137,26228,,,
21139,36207,,,
21141,36875,,,
21143,37744,,,
21145,31768,,,
21147,20129,,,
21149,40972,,,
21151,39579,,,
21153,22434,,,
21155,36027,,,
21157,31023,,,
21159,33056,,,
21161,27833,,,
21163,44079,,,
21165,34583,,,
21167,38901,,,
21169,20509,,,
21171,23914,,,
21173,33345,,,
21175,28365,,,
21177,30964,,,
21179,44986,,,
21181,32318,,,
21183,35978,,,
21185,55714,,,
21187,49000,,,
21189,49853,,,
21191,36250,,,
21193,25135,,,
21195,30484,,,
21197,35333,,,
21199,27695,,,
21201,,,,
21203,27670,,,
21205,34625,,,
21207,26563,,,
21209,49109,,,
21211,43921,,,
21213,41094,,,
21215,49000,,,
21217,33532,,,
21219,34653,,,
21221,34024,,,
21223,32850,,,
21225,39306,,,
21227,37919,,,
21229,36357,,,
21231,32791,,,
21233,36935,,,
21235,23070,,,
21237,37563,,,
21239,42041,,,

22001,30837,,,
22003,27288,,,
22005,57339,,,
22007,34223,,,
22009,32094,,,
22011,40328,,,
22013,31413,,,
22015,47664,,,
22017,36580,,,
22019,38830,,,
22021,26063,,,
22023,46944,,,
22025,44464,,,
22027,31442,,,
22029,24799,,,
22031,36122,,,
22033,43879,,,
22035,17179,,,
22037,32522,,,
22039,29905,,,
22041,30849,,,
22043,30484,,,
22045,33388,,,
22047,40893,,,
22049,33095,,,
22051,37155,,,
22053,31306,,,
22055,44520,,,
22057,36674,,,
22059,31250,,,
22061,30414,,,
22063,40607,,,
22065,26960,,,
22067,31806,,,
22069,40066,,,
22071,35349,,,
22073,31650,,,
22075,46597,,,
22077,32917,,,
22079,38156,,,
22081,23079,,,
22083,27409,,,
22085,33879,,,
22087,38750,,,
22089,49637,,,
22091,21064,,,
22093,38750,,,
22095,36064,,,
22097,31437,,,
22099,33355,,,
22101,33369,,,
22103,45653,,,
22105,41149,,,
22107,21964,,,
22109,35393,,,
22111,33207,,,
22113,34005,,,
22115,41861,,,
22117,30735,,,
22119,25920,,,
22121,35948,,,
22123,30861,,,
22125,57201,,,
22127,26319,,,

23001,38629,,,
23003,31846,,,
23005,42658,,,
23007,32438,,,
23009,41052,,,
23011,38861,,,
23013,42243,,,
23015,43667,,,
23017,33293,,,
23019,36274,,,
23021,31210,,,
23023,44609,,,
23025,31297,,,
23027,37162,,,
23029,35911,,,
23031,42832,,,

24001,32662,,,
24003,71109,,,
24005,46697,,,
24009,77484,,,
24011,35762,,,
24013,59384,,,
24015,49524,,,
24017,75708,,,
24019,34684,,,
24021,62099,,,
24023,34987,,,
24025,60386,,,
24027,79818,,,
24029,39907,,,
24031,76268,,,
24033,62049,,,
24035,61885,,,
24037,78385,,,
24039,29276,,,
24041,54123,,,
24043,42576,,,
24045,36243,,,
24047,41097,,,
24510,32700,,,

25001,48216,,,
25003,40892,,,
25005,40510,,,
25007,39358,,,
25009,44712,,,
25011,38327,,,
25013,39240,,,
25015,38850,,,
25017,49139,,,
25019,44455,,,
25021,52291,,,
25023,45562,,,
25025,42033,,,
25027,43522,,,

26001,33567,,,
26003,33378,,,
26005,36736,,,
26007,28214,,,
26009,38085,,,
26011,33255,,,
26013,32370,,,
26015,37221,,,
26017,36604,,,
26019,37022,,,
26021,36132,,,
26023,36107,,,
26025,35480,,,
26027,33054,,,
26029,35155,,,
26031,32500,,,
26033,31911,,,
26035,32657,,,
26037,41125,,,
26039,40884,,,
26041,35808,,,
26043,41476,,,
26045,43370,,,
26047,35035,,,
26049,38373,,,
26051,35462,,,
26053,30893,,,
26055,39369,,,
26057,34006,,,
26059,33750,,,
26061,33481,,,
26063,32921,,,
26065,41175,,,
26067,35815,,,
26069,33233,,,
26071,29537,,,
26073,33871,,,
26075,35841,,,
26077,39469,,,
26079,33506,,,
26081,37811,,,
26083,40700,,,
26085,28603,,,
26087,38375,,,
26089,41124,,,
26091,37067,,,
26093,51121,,,
26095,29310,,,
26097,33796,,,
26099,43556,,,
26101,33676,,,
26103,39375,,,
26105,32724,,,
26107,33347,,,
26109,35190,,,
26111,41280,,,
26113,32355,,,
26115,42041,,,
26117,35860,,,
26119,32292,,,
26121,32304,,,
26123,32654,,,
26125,45849,,,
26127,35928,,,
26129,31391,,,
26131,30731,,,
26133,28290,,,
26135,30225,,,
26137,36308,,,
26139,40565,,,
26141,34512,,,
26143,33125,,,
26145,36306,,,
26147,38584,,,
26149,34892,,,
26151,34399,,,
26153,32159,,,
26155,36319,,,
26157,35117,,,
26159,36970,,,
26161,45253,,,
26163,37264,,,
26165,30785,,,

27001,32982,,,
27003,45484,,,
27005,39194,,,
27007,37738,,,
27009,38260,,,
27011,34896,,,
27013,39635,,,
27015,37527,,,
27017,41429,,,
27019,53384,,,
27021,35746,,,
27023,38040,,,
27025,49383,,,
27027,41875,,,
27029,33304,,,
27031,39839,,,
27033,35944,,,
27035,35051,,,
27037,48003,,,
27039,43333,,,
27041,42184,,,
27043,34133,,,
27045,38958,,,
27047,34568,,,
27049,42780,,,
27051,36667,,,
27053,45315,,,
27055,36789,,,
27057,35646,,,
27059,40000,,,
27061,40608,,,
27063,41544,,,
27065,34048,,,
27067,44269,,,
27069,43438,,,
27071,40917,,,
27073,30050,,,
27075,37697,,,
27077,25000,,,
27079,40699,,,
27081,28816,,,
27083,39684,,,
27085,41233,,,
27087,33417,,,
27089,40302,,,
27091,39408,,,
27093,38510,,,
27095,34462,,,
27097,37342,,,
27099,37042,,,
27101,33125,,,
27103,45066,,,
27105,36898,,,
27107,31852,,,
27109,43140,,,
27111,37564,,,
27113,40822,,,
27115,32014,,,
27117,38100,,,
27119,36215,,,
27121,34688,,,
27123,43926,,,
27125,34063,,,
27127,30833,,,
27129,38056,,,
27131,41996,,,
27133,31821,,,
27135,41853,,,
27137,38953,,,
27139,51200,,,
27141,50240,,,
27143,37865,,,
27145,37887,,,
27147,36103,,,
27149,45521,,,
27151,33750,,,
27153,34447,,,
27155,32898,,,
27157,35417,,,
27159,32596,,,
27161,32406,,,
27163,50582,,,
27165,41477,,,
27167,38897,,,
27169,38125,,,
27171,45601,,,
27173,41548,,,

28001,31088,,,
28003,34705,,,
28005,30321,,,
28007,27475,,,
28009,41912,,,
28011,29253,,,
28013,28563,,,
28015,47333,,,
28017,27361,,,
28019,36667,,,
28021,18657,,,
28023,40648,,,
28025,22391,,,
28027,30147,,,
28029,28023,,,
28031,45750,,,
28033,43766,,,
28035,30234,,,
28037,37632,,,
28039,33147,,,
28041,31106,,,
28043,36771,,,
28045,37660,,,
28047,41235,,,
28049,37913,,,
28051,25227,,,
28053,27000,,,
28055,,,,
28057,29443,,,
28059,39448,,,
28061,35686,,,
28063,30125,,,
28065,33869,,,
28067,29167,,,
28069,27500,,,
28071,38833,,,
28073,45341,,,
28075,34862,,,
28077,47946,,,
28079,32690,,,
28081,33442,,,
28083,22143,,,
28085,21667,,,
28087,50027,,,
28089,45513,,,
28091,22702,,,
28093,26144,,,
28095,37985,,,
28097,31071,,,
28099,29192,,,
28101,30378,,,
28103,30893,,,
28105,43077,,,
28107,33357,,,
28109,44802,,,
28111,35461,,,
28113,27126,,,
28115,29493,,,
28117,22500,,,
28119,24375,,,
28121,46447,,,
28123,37721,,,
28125,41741,,,
28127,32375,,,
28129,27167,,,
28131,42247,,,
28133,36550,,,
28135,41905,,,
28137,40295,,,
28139,23544,,,
28141,37113,,,
28143,24519,,,
28145,30215,,,
28147,32929,,,
28149,34740,,,
28151,26447,,,
28153,33712,,,
28155,36065,,,
28157,26364,,,
28159,36667,,,
28161,41181,,,
28163,36023,,,

29001,39515,,,
29003,42526,,,
29005,39500,,,
29007,31830,,,
29009,32443,,,
29011,21944,,,
29013,31761,,,
29015,30340,,,
29017,29507,,,
29019,40145,,,
29021,34566,,,
29023,35051,,,
29025,45975,,,
29027,32961,,,
29029,33881,,,
29031,36149,,,
29033,32721,,,
29035,25903,,,
29037,43211,,,
29039,26086,,,
29041,31471,,,
29043,39748,,,
29045,28264,,,
29047,42616,,,
29049,40110,,,
29051,42888,,,
29053,33922,,,
29055,30318,,,
29057,29946,,,
29059,32289,,,
29061,34199,,,
29063,41875,,,
29065,33147,,,
29067,28846,,,
29069,27950,,,
29071,36236,,,
29073,34850,,,
29075,29330,,,
29077,36088,,,
29079,32344,,,
29081,28125,,,
29083,37982,,,
29085,29858,,,
29087,38977,,,
29089,40032,,,
29091,28485,,,
29093,27973,,,
29095,40657,,,
29097,36449,,,
29099,40086,,,
29101,41322,,,
29103,29000,,,
29105,39444,,,
29107,44534,,,
29109,27583,,,
29111,31034,,,
29113,38458,,,
29115,28807,,,
29117,28362,,,
29119,24121,,,
29121,27306,,,
29123,36563,,,
29125,38133,,,
29127,36984,,,
