county+AF8-name,state+AF8-abbr,value
Leavenworth County,KS,0.04665292394488
Linn County,KS,0.06578947368421
Miami County,KS,0.04114158636027
Osage County,KS,0.0521327014218
Pottawatomie County,KS,0.02428494333513
Riley County,KS,0.13615274803712
Sedgwick County,KS,0.05324613495703
Shawnee County,KS,0.04786630856461
Sumner County,KS,0.03602811950791
Wabaunsee County,KS,0.03783783783784
Wyandotte County,KS,0.04603555982701
Allen County,KY,0.02225519287834
Boone County,KY,0.02819237147595
Bourbon County,KY,0.02797761790568
Boyd County,KY,0.02319875083649
Bracken County,KY,0.10516605166052
Bullitt County,KY,0.04950645406226
Butler County,KY,0.03119092627599
Campbell County,KY,0.03677510608204
Carter County,KY,0.01112288135593
Christian County,KY,0.22432113341204
Clark County,KY,0.0150068212824
Daviess County,KY,0.04817803864025
Edmonson County,KY,0.02508178844057
Fayette County,KY,0.04743102758896
Gallatin County,KY,0
Grant County,KY,0.04408352668213
Greenup County,KY,0.04899461908808
Hancock County,KY,0.04081632653061
Hardin County,KY,0.0916183523012
Henderson County,KY,0.02603583426652
Henry County,KY,0.00164609053498
Jefferson County,KY,0.03678363482437
Jessamine County,KY,0.03147853736089
Kenton County,KY,0.03575129533679
Larue County,KY,0.03682487725041
McLean County,KY,0.0571791613723
Meade County,KY,0.09254267744834
Oldham County,KY,0.04502936697846
Pendleton County,KY,0.02426160337553
Scott County,KY,0.07657316148597
Shelby County,KY,0.02260559190958
Spencer County,KY,0.08419380460683
Trigg County,KY,0.00308451573103
Warren County,KY,0.05271460496911
Woodford County,KY,0.03942002718623
Acadia Parish,LA,0.03732970027248
Ascension Parish,LA,0.08535835127653
Assumption Parish,LA,0.05607476635514
Bossier Parish,LA,0.10603853003076
Caddo Parish,LA,0.06759617154427
Calcasieu Parish,LA,0.05412711384925
Cameron Parish,LA,0.00932835820896
De Soto Parish,LA,0.04091816367265
East Baton Rouge Parish,LA,0.07279010549291
East Feliciana Parish,LA,0.10771191841938
Grant Parish,LA,0.06353305785124
Iberia Parish,LA,0.04945173081058
Iberville Parish,LA,0.08701923076923
Jefferson Parish,LA,0.04680312432466
Lafayette Parish,LA,0.0736301369863
Lafourche Parish,LA,0.09204309204309
Livingston Parish,LA,0.05251409774436
Morehouse Parish,LA,0.04716981132075
Orleans Parish,LA,0.0498406691894
Ouachita Parish,LA,0.05998003992016
Plaquemines Parish,LA,0.17998700454841
Pointe Coupee Parish,LA,0.01666666666667
Rapides Parish,LA,0.07291407738835
St. Bernard Parish,LA,0.08822126847878
St. Charles Parish,LA,0.05663062037564
St. Helena Parish,LA,0.05371248025276
St. James Parish,LA,0.0174741858618
St. John the Baptist Parish,LA,0.02556634304207
St. Martin Parish,LA,0.03338119167265
St. Tammany Parish,LA,0.05578038909747
Tangipahoa Parish,LA,0.09548123563952
Terrebonne Parish,LA,0.07828594973218
Union Parish,LA,0.10829899941142
Vermilion Parish,LA,0.04528419737664
West Baton Rouge Parish,LA,0.05164319248826
West Feliciana Parish,LA,0.0890609874153
Barnstable County,MA,0.0263187791116
Berkshire County,MA,0.01558463922852
Bristol County,MA,0.03996206633123
Essex County,MA,0.0333767566714
Franklin County,MA,0.01669375092333
Hampden County,MA,0.03950160509277
Hampshire County,MA,0.04488202944829
Middlesex County,MA,0.03213102601524
Norfolk County,MA,0.02593705879674
Plymouth County,MA,0.02627860977677
Suffolk County,MA,0.05707248416608
Worcester County,MA,0.03797595694382
Allegany County,MD,0.03329549754067
Anne Arundel County,MD,0.08618350589075
Baltimore City,MD,0.04795533711886
Baltimore County,MD,0.04792067030517
Calvert County,MD,0.04674188349067
Carroll County,MD,0.03186218461773
Cecil County,MD,0.05435345273838
Charles County,MD,0.072561089349
Frederick County,MD,0.04137367130008
Harford County,MD,0.04929169082926
Howard County,MD,0.06524975614765
Montgomery County,MD,0.05784340534135
Prince George's County,MD,0.06228869838203
Queen Anne's County,MD,0.0469581309276
Somerset County,MD,0.02525497814473
St. Mary's County,MD,0.06082059533387
Washington County,MD,0.04648426007649
Wicomico County,MD,0.08571061423799
Worcester County,MD,0.00415387393896
Androscoggin County,ME,0.04862088958834
Cumberland County,ME,0.03931500241196
Penobscot County,ME,0.03208148558758
Sagadahoc County,ME,0.0267471958585
York County,ME,0.03717284686254
Bay County,MI,0.02150430086017
Berrien County,MI,0.01701475098583
Calhoun County,MI,0.03840671523598
Cass County,MI,0.02299389957766
Clinton County,MI,0.01754385964912
Eaton County,MI,0.03050654524758
Genesee County,MI,0.02504723017856
Ingham County,MI,0.05669914738124
Ionia County,MI,0.03561589925226
Jackson County,MI,0.02375246687341
Kalamazoo County,MI,0.04755753875059
Kent County,MI,0.03730961045963
Lapeer County,MI,0.0486190658012
Livingston County,MI,0.01592285265755
Macomb County,MI,0.03382908593938
Midland County,MI,0.02454659161976
Monroe County,MI,0.01659231431478
Montcalm County,MI,0.02032761002566
Muskegon County,MI,0.04337717550153
Oakland County,MI,0.02721959811064
Ottawa County,MI,0.0397181693478
Saginaw County,MI,0.02714013950539
Shiawassee County,MI,0.03392063230693
St. Clair County,MI,0.02116777951414
Washtenaw County,MI,0.0677118956174
Wayne County,MI,0.0300040399018
Anoka County,MN,0.03880097974418
Benton County,MN,0.0495951417004
Blue Earth County,MN,0.05374102385916
Carlton County,MN,0.04672897196262
Carver County,MN,0.02431888827939
Chisago County,MN,0.05448945747453
Clay County,MN,0.05276574050472
Dakota County,MN,0.04692898949298
Dodge County,MN,0.02885245901639
Fillmore County,MN,0.01662971175166
Hennepin County,MN,0.03332656789121
Houston County,MN,0.00980926430518
Isanti County,MN,0.02121684867395
Lake County,MN,0.02060221870048
Le Sueur County,MN,0.02291758483914
Mille Lacs County,MN,0.01656151419558
Nicollet County,MN,0.04543303360151
Olmsted County,MN,0.04819849795608
Polk County,MN,0.03412356321839
Ramsey County,MN,0.03518236190923
Scott County,MN,0.04491949668516
Sherburne County,MN,0.05616991398982
St. Louis County,MN,0.04714537353642
Stearns County,MN,0.05313076315096
Wabasha County,MN,0.03382563125298
Washington County,MN,0.03914659149154
Wright County,MN,0.03928751894896
Andrew County,MO,0.08147713950762
Bates County,MO,0.02659911336289
Bollinger County,MO,0.01033973412112
Boone County,MO,0.06921309592188
Buchanan County,MO,0.04956584659913
Caldwell County,MO,0.02175969725639
Callaway County,MO,0.05720709467899
Cape Girardeau County,MO,0.03554538520214
Cass County,MO,0.03041259038707
Christian County,MO,0.05057194461168
Clay County,MO,0.04416998115972
Clinton County,MO,0.03589743589744
Cole County,MO,0.05271979277769
Cooper County,MO,0.06466666666667
Dallas County,MO,0.03868103994927
DeKalb County,MO,0.02765273311897
Franklin County,MO,0.01533539276258
Greene County,MO,0.05489494097089
Howard County,MO,0.02364066193853
Jackson County,MO,0.04002476509578
Jasper County,MO,0.06749357470108
Jefferson County,MO,0.03883546444045
Lafayette County,MO,0.02164355765979
Lincoln County,MO,0.03558797524315
Moniteau County,MO,0.018573551263
Newton County,MO,0.04451038575668
Osage County,MO,0.03938356164384
Platte County,MO,0.06687515034881
Polk County,MO,0.05708169818052
Ray County,MO,0.03100416473855
St. Charles County,MO,0.03018867924528
St. Louis City,MO,0.04980732967123
St. Louis County,MO,0.03384531061201
Warren County,MO,0.02600931677019
Webster County,MO,0.01654411764706
Copiah County,MS,0.06309650053022
Covington County,MS,0.01158077591199
DeSoto County,MS,0.03823708736173
Forrest County,MS,0.10246144721234
Hancock County,MS,0.03124307555949
Harrison County,MS,0.09699381078691
Hinds County,MS,0.06912115545812
Holmes County,MS,0.05271317829457
Jackson County,MS,0.0418466331516
Lamar County,MS,0.12743671806808
Madison County,MS,0.11033080761412
Marshall County,MS,0.03884462151394
Perry County,MS,0.14359504132231
Rankin County,MS,0.08585357046132
Simpson County,MS,0.06702253855279
Stone County,MS,0.04405286343612
Tate County,MS,0.06104651162791
Tunica County,MS,0.02334630350195
Yazoo County,MS,0.10630136986301
Carbon County,MT,0.02808988764045
Cascade County,MT,0.13041214750542
Missoula County,MT,0.04969735584581
Stillwater County,MT,0.03675675675676
Yellowstone County,MT,0.03821751138315
Alamance County,NC,0.04408973252804
Alexander County,NC,0.0319909672563
